,city,zipcode,lat,lng,environment_score_rank,leisure+accessibility_score_rank,cost_of_living_score_rank,edu_score_rank,job_score_rank,safety_score_rank
0,"New York, NY",10004,40.730646,-73.986614,12,2,51,14,45,18
1,"Los Angeles, CA",90004,34.143916,-118.761144,47,50,46,42,48,48
2,"Chicago, IL",60604,41.875555,-87.624421,31,7,42,16,39,23
3,"Houston, TX",77005,29.758938,-95.367697,51,41,7,43,29,36
4,"Phoenix, AZ",85007,33.448587,-112.077346,34,42,21,37,26,20
5,"Philadelphia, PA",19106,39.952399,-75.16359,6,12,44,18,42,41
6,"San Antonio, TX",78204,29.4246,-98.49514,19,24,6,47,33,17
7,"San Diego, CA",92104,32.717421,-117.162771,50,13,35,12,9,8
8,"Dallas, TX",75204,32.776272,-96.796856,18,27,16,34,34,47
9,"San Jose, CA",95113,37.336191,-121.890583,34,10,34,1,8,7
10,"Jacksonville, FL",32206,30.332184,-81.655651,38,48,23,33,22,25
11,"Columbus, OH",43203,39.96226,-83.000706,13,32,24,22,36,38
12,"Charlotte, NC",28205,35.227087,-80.843127,47,47,27,27,24,5
13,"San Francisco, CA",94105,37.779281,-122.419236,50,1,50,3,4,22
14,"Seattle, WA",98104,47.603832,-122.330062,10,14,49,6,1,31
15,"Denver, CO",80205,39.739154,-104.984703,36,6,36,9,18,42
16,"Washington, DC",20004,38.894955,-77.036646,34,22,48,2,17,37
17,"El Paso, TX",79904,31.760037,-106.487287,4,39,1,50,41,16
18,"Nashville, TN",37205,36.16223,-86.774353,35,36,28,24,23,19
19,"Detroit, MI",48205,42.348664,-83.056737,27,19,20,35,51,49
20,"Oklahoma City, OK",73105,35.472989,-97.517054,20,40,10,39,30,51
21,"Portland, OR",97204,45.520247,-122.674195,26,3,41,10,15,14
22,"Memphis, TN",38106,35.149022,-90.051628,31,38,4,48,44,50
23,"Baltimore, MD",21206,39.290882,-76.610759,2,17,29,13,35,45
24,"Milwaukee, WI",53205,43.034993,-87.922497,1,43,33,29,40,30
25,"Albuquerque, NM",87106,35.084103,-106.650985,47,15,3,28,38,32
26,"Tucson, AZ",85706,32.221892,-110.926235,48,29,9,26,11,43
27,"Fresno, CA",93703,36.739442,-119.784831,35,35,12,51,43,26
28,"Sacramento, CA",95816,38.581572,-121.4944,51,8,40,25,13,13
29,"Atlanta, GA",30307,33.749099,-84.390185,44,44,39,15,14,28
30,"Kansas City, MO",64106,39.100105,-94.578142,35,25,14,20,20,40
31,"Colorado Springs, CO",80905,38.833958,-104.825348,48,37,26,8,2,12
32,"Omaha, NE",68106,41.258732,-95.937873,30,28,32,21,5,6
33,"Raleigh, NC",27605,35.780398,-78.639099,43,11,15,7,8,2
34,"Miami, FL",33126,25.774266,-80.193659,7,20,45,36,49,34
35,"Minneapolis, MN",55404,44.9773,-93.265469,44,5,47,11,27,11
36,"Tulsa, OK",74106,36.155681,-95.992911,39,45,5,49,32,35
37,"Tampa, FL",33605,27.94776,-82.458444,42,33,38,38,21,15
38,"New Orleans, LA",70115,29.949932,-90.070116,3,9,30,45,47,44
39,"Wichita, KS",67205,37.692236,-97.337545,17,46,2,41,29,33
40,"Cleveland, OH",44104,41.505161,-81.693445,39,34,37,40,50,46
41,"Cincinnati, OH",45205,39.101454,-84.51246,28,21,8,30,25,27
42,"Pittsburgh, PA",15204,40.441694,-79.990086,12,26,43,17,6,21
43,"Greensboro, NC",27406,36.072636,-79.791975,42,49,22,44,31,9
44,"Orlando, FL",32805,28.54211,-81.379039,30,23,17,32,16,39
45,"Durham, NC",27705,35.996653,-78.901805,30,31,25,5,10,3
46,"Toledo, OH",43607,41.678675,-83.512728,8,51,11,46,46,24
47,"Madison, WI",53705,43.074761,-89.383761,36,4,19,4,3,1
48,"Buffalo, NY",14204,42.886717,-78.878392,37,18,31,31,37,4
49,"Richmond, VA",23221,37.538509,-77.43428,42,30,13,19,12,29
50,"Spokane, WA",99204,47.657943,-117.421226,42,16,18,24,19,10
